index,index_x,Datetime,Open,High,Low,Close,Volume,RSI_14,RSI_21,RSI_7,RSI_Momentum,Price_Momentum,Stoch_K,Stoch_D,Williams_R,MACD,MACD_Signal,MACD_Histogram,MACD_Std,MACD_Signal_Std,EMA_9,EMA_21,EMA_50,EMA_200,EMA_Cross_Short,EMA_Cross_Long,BB_Upper,BB_Lower,BB_Mid,BB_Width,BB_Position,KC_Upper,KC_Lower,KC_Mid,ATR,ATR_Percent,Volatility_Breakout,VWAP,VWAP_Distance,OBV,OBV_EMA,Volume_ROC,Higher_High,Lower_Low,Support_Level,Resistance_Level,Support_Distance,Resistance_Distance,ADX,Trending_Market,Choppiness,Crypto_Fear_Greed,Is_Weekend,Hour,Is_US_Hours,Is_Asian_Hours,Momentum_Confluence,Volatility_Regime,Close_Lag_1,RSI_Lag_1,MACD_Lag_1,Close_Lag_2,RSI_Lag_2,MACD_Lag_2,Close_Lag_3,RSI_Lag_3,MACD_Lag_3,Close_Lag_5,RSI_Lag_5,MACD_Lag_5,Close_SMA_5,Close_SMA_20,Close_Std_20,Close_Skew_20,Close_Kurt_20,Return_3d,Volatility_3d,Return_5d,Volatility_5d,Return_10d,Volatility_10d,Return_20d,Volatility_20d,Call_LTP,Call_IV,Call_OI,Call_Volume,Return_2,Max_Return_2,Min_Return_2,Return_3,Max_Return_3,Min_Return_3,Return_5,Max_Return_5,Min_Return_5,Return_10,Max_Return_10,Min_Return_10,Return_15,Max_Return_15,Min_Return_15,Volatility,index_y,call_max_profit,call_avg_profit,put_max_profit,put_avg_profit,best_period,Signal,Signal_Confidence,Signal_Type,Expected_Profit
286,286,2025-09-04 11:45:00,110982.01,111011.1,110914.5,110972.7,28.59442,57.205564856412025,55.739651769208805,60.909989874058525,-0.6480212812885568,-8.379737254693431e-05,83.8669054131158,82.42917953864146,-16.1330945868842,47.06239984562853,35.225590896767415,11.83680894886112,42.507963513970026,33.65335961573567,110919.91576826449,110878.4154374106,110830.35780177152,111136.13680318811,1,0,111098.4382375293,110684.6317624707,110891.535,0.003728903370456,0.6961424117118965,111008.96766666668,110777.62866666666,110893.29816666667,99.89792278938476,0.0900202687592396,0,111385.07941531442,-0.3702285956782538,1254.991280000001,1232.4194795816263,-0.374693545512496,0,0,110628.86,111018.91,0.309841970142203,0.0416408720342988,25.79205996785546,1,40.90330018136293,0.0385236655302564,0,11,1,0,1,0,110982.0,57.85358613770058,42.99880960636074,110941.48,55.82922586536999,34.29605170778814,110941.51,55.83106948048512,28.533121202432085,110900.0,53.91706425779064,11.749088652417411,110949.98799999998,110891.535,106.13912134069916,-1.3874770195259962,1.1699056937292398,0.0002811391335848,0.0002388183649087,0.0006555455365193,0.0001845928040417,0.0031080497439817,0.0009183735268876,0.0005402443253157,0.0009225336045101,0.022,6302.471,0,128.1,-0.0014661263535986624,-0.0009640208808111561,-0.0014661263535986624,-0.000980601535332526,-0.0009640208808111561,-0.0014661263535986624,0.00040640626027843574,0.00040640626027843574,-0.0014661263535986624,-0.002907922398932339,0.00040640626027843574,-0.002907922398932339,-0.0008348900225009226,0.00040640626027843574,-0.003163480747967684,0.0009225336045101768,286.0,2049.0000000002647,511.50000000006617,18334.227272727105,7444.596590908858,3.0,2,HIGH,BUY_PUT,18334.227272727105
258,258,2025-09-04 09:25:00,110810.99,110836.23,110786.39,110808.36,36.03534,59.3302861552487,54.890280878821,63.9029490413285,-0.2256668618665642,-2.382434956815782e-05,80.5700583981112,81.4724574905555,-19.429941601888803,78.29334520008706,76.06872238624362,2.224622813843439,62.94679903080396,45.38710871237538,110773.52292111532,110702.42876429702,110730.3310293956,111221.419600075,1,0,110918.49259453783,110470.90540546214,110694.699,0.0040392907996807,0.7539415845094284,110783.002,110593.972,110688.487,90.86601679832012,0.0820028532128082,0,111405.4771407861,-0.5359854435446685,1112.3921700000014,1186.0507682729765,0.3634029550775544,0,1,110463.36,110839.99,0.3113483495288622,0.0285447776684039,27.959785791326254,1,60.78874625134161,0.0333503257461805,0,9,1,0,1,0,110811.0,59.555953017115264,80.9899286266882,110812.72,59.69331193431229,81.9993843692937,110831.99,61.16079599706883,80.76477508040261,110810.55,60.453008286775024,58.76284268012387,110820.812,110694.699,114.80369166557848,-0.5826317398452915,-0.3484021087085794,-0.0002132055916347,8.912054372209324e-05,-1.9763461150623662e-05,0.0001633669386137,0.0009877232878845,0.0005652191263051,0.0037801064886859,0.0006906080397396,0.022,6302.471,0,128.1,-7.318942361389524e-05,0.00037596441279341697,-7.318942361389524e-05,-0.00025313974505170034,0.00037596441279341697,-0.00025313974505170034,-0.0001837406491712601,0.00037596441279341697,-0.00025313974505170034,0.0008194327576005467,0.001900127391110118,-0.00025313974505170034,0.0010094906196609355,0.001900127391110118,-0.00025313974505170034,0.0006906080397396332,258.0,5083.5454545461425,2301.954545454585,1592.750000000165,686.642045454595,3.0,1,HIGH,BUY_CALL,5083.5454545461425
262,262,2025-09-04 09:45:00,110780.32,110807.81,110750.0,110787.62,11.50333,56.11978032305075,53.41373391773315,54.27230811348743,0.5234607607191037,6.598645553523852e-05,71.27216718008118,71.80287865209247,-28.727832819918817,58.01446733296325,67.54867100239096,-9.534203669427711,56.46694678184576,54.38733600815522,110788.68263648884,110734.04002205929,110741.15469735058,111205.06365124644,1,0,110905.72870090613,110584.27529909388,110745.002,0.0029015281834941,0.6325790915875306,110826.831,110659.104,110742.9675,83.43162369264948,0.075307713707226,0,111403.55684766406,-0.5528879553696061,1112.9185700000014,1162.272800854596,0.6909375813068781,0,0,110605.05,110850.02,0.1647927809984477,0.0563239827699238,25.984646199073666,1,52.0485153228455,0.0330451902084188,0,9,1,0,0,0,110780.31,55.59631956233165,64.63946209625283,110800.25,57.32856531813626,73.51982720156957,110850.02,61.79071890794404,80.27549135904701,110811.0,59.555953017115264,80.9899286266882,110805.312,110745.002,82.45105786587227,-0.4494222503768492,-1.3949957326392963,-0.0005629227671768,0.0002575718675654,-0.0002109898836758,0.000304695047278,0.0013254583722466,0.0005436368472838,0.0006832142284873,0.0006124705584069,0.022,6302.471,0,128.1,0.0002475005781332751,0.0002475005781332751,3.4299861302322654e-06,8.917963938581686e-05,0.0002475005781332751,3.4299861302322654e-06,0.00208768813699578,0.00208768813699578,3.4299861302322654e-06,0.0014369836629761767,0.00208768813699578,3.4299861302322654e-06,-0.0008586699488624117,0.00208768813699578,-0.0014330121000883933,0.000612470558406904,262.0,10512.181818181529,4548.659090909369,5404.113636363074,1350.2784090907685,3.0,1,HIGH,BUY_CALL,10512.181818181529
145,145,2025-09-04 00:00:00,111705.72,111777.87,111653.66,111710.59,79.49965,38.771990690895166,40.5731772284159,40.30733365158805,0.4635959779224592,4.368621800976413e-05,26.394732528277007,21.128171502469076,-73.605267471723,-92.84232556492498,-95.89510166243863,3.0527760975136573,-88.23136012280884,-77.91430342475005,111729.39252513715,111814.55941968286,111917.317284817,111752.41829410162,0,1,112042.20732183364,111602.2256781664,111822.2165,0.0039385849064734,0.2462928246969402,111908.82783333331,111749.15583333334,111828.99183333332,80.73812622414975,0.0722743709653218,0,111524.90589242932,0.166495641565281,1879.9347000000007,1782.1159316245853,5.703818916826744,1,0,111638.26,111958.65,0.0647476662687053,0.2220559393697569,23.786012946209777,0,41.07662136149336,0.0442521585827442,0,0,0,0,0,0,111705.71,38.30839471297271,-100.06009778524458,111657.64,33.717946507886126,-106.50294427438348,111709.99,36.46155464975549,-103.64474304404575,111638.26,29.271390025810632,-97.21672281055362,111688.06600000002,111822.2165,112.8529104293617,-0.3985303259518833,-1.4730546475872095,5.371050521008058e-06,0.0004510253132405,0.0006478961603306,0.0003806677100959,-0.0013773785771683,0.0004869321852091,-0.0035496849749359,0.0005276915189319,0.022,6302.471,0,128.1,0.00017769130035039105,0.00017769130035039105,-0.0005763106255189943,0.0016598247310304348,0.0016598247310304348,-0.0005763106255189943,0.0026354708179412434,0.0026665332266171404,-0.0005763106255189943,0.0038965867067750626,0.0038965867067750626,-0.0005763106255189943,6.57950154949738e-05,0.0038965867067750626,-0.0005763106255189943,0.000527691518931992,145.0,19784.9090909088,10481.61363636365,-1.0,-1.0,3.0,1,HIGH,BUY_CALL,19784.9090909088
55,55,2025-09-03 16:30:00,111965.99,112111.8,111965.98,112111.79,47.91906,52.64745507290905,53.80479102002868,49.57784783418643,5.231765048764679,0.0013021811355393,46.33746116483496,34.41479790584946,-53.66253883516504,29.30455923745467,56.764702982413226,-27.46014374495856,70.3438635446364,111.2200252064896,112113.6480571458,112080.60379650629,111881.9890560624,111383.49620119978,1,1,112363.64207939696,111959.255920603,112161.449,0.0036069904761485,0.3771990610457529,112308.00833333332,112011.96233333336,112159.98533333332,173.4961842401985,0.1547528446742296,0,111396.8751195824,0.641772832182362,1708.1411800000014,1789.8793368375527,-0.2672003322742804,0,0,111958.0,112353.61,0.1371755816225872,0.2156954232913478,16.44823304588993,0,53.42154174203419,0.0732794103003158,0,16,1,0,0,2,111965.99,47.41569002414437,31.885566942190053,112100.0,52.35238606009846,61.70197592624754,112110.87,52.76617375267585,77.22041217723745,112156.73,54.63773242778603,104.82791445593466,112093.33,112161.449,103.72286120136864,-0.282320375166879,0.0958231311762895,8.206162346313661e-06,0.0012518279679031,-0.0004006892854312,0.0009349350016168,-0.0018538103762633,0.0006745402544027,0.0001359542287429,0.0009759509036762,0.022,6302.471,0,128.1,-0.003372972637400551,-0.000850936373417932,-0.003372972637400551,-0.003289127753646648,-0.000850936373417932,-0.003372972637400551,-0.0022578356834725977,-0.000850936373417932,-0.003372972637400551,0.0023163487087307644,0.0029099526463720604,-0.003372972637400551,0.002873203612216102,0.0030051255091012585,-0.003372972637400551,0.0009759509036762076,55.0,14640.818181818633,6610.477272727247,20950.704545454544,8832.522727272586,3.0,2,HIGH,BUY_PUT,20950.704545454544
93,93,2025-09-03 19:40:00,111820.57,111875.24,111792.5,111859.81,19.87641,42.73332666923573,45.20201760733782,41.210272474770186,2.0374676289550138,0.0003509193344299,22.3403343334744,26.889964612811152,-77.6596656665256,-86.50560012002825,-90.2656919290686,3.760091809040347,-78.77325450087665,-68.3319904721597,111910.50935023384,111990.53330994972,112017.09595826008,111606.4016935462,0,1,112390.89389601376,111625.97610398622,112008.43499999998,0.0068381824716806,0.305698074291051,112129.99133333334,111899.39233333334,112014.69183333332,122.81445464875851,0.1097931908240846,0,111485.43861670386,0.3358029424661066,1564.6059900000016,1603.2716344907858,-0.1581737541643618,0,0,111815.29,112510.8,0.0397998172891622,0.5819695205990474,19.21925394252316,0,56.80422436390625,0.0628749079286512,0,19,0,0,0,1,111820.57,40.69585904028072,-86.94429973508522,111996.8,47.786014004090745,-77.79319491251954,111917.7,43.69770651789732,-95.35668395170067,111933.18,44.31053073142828,-112.09445866424358,111904.398,112008.43499999998,196.19727393625453,1.327246254317209,1.054363577308769,-0.0005172550901242,0.0012267759381864,-0.000655480349973,0.0008693509100729,-0.0004006089470464,0.0008112840276759,-0.005301717062368,0.0008664034891772,0.022,6302.471,0,128.1,0.002480694361987501,0.002480694361987501,0.001125873537600297,0.0029852544895259125,0.0029852544895259125,0.001125873537600297,0.0028770833778459792,0.0029852544895259125,0.001125873537600297,0.0022796391304438224,0.0029852544895259125,0.001125873537600297,0.003142326095493919,0.003142326095493919,0.001125873537600297,0.0008664034891772116,93.0,15976.272727272068,14342.863636364074,-1.0,-1.0,3.0,1,HIGH,BUY_CALL,15976.272727272068
339,339,2025-09-04 16:10:00,109674.61,109688.0,109594.8,109644.94,60.20739,42.79572233887364,40.39451481885,51.74740765587922,-1.1166156860204737,-0.000270527517718,68.25441421192596,60.37688629136068,-31.74558578807404,-113.6886330460984,-157.6428349544046,43.9542019083062,-166.55927834012255,-215.18863045280887,109607.67492731188,109720.9906818712,110056.10856731262,110736.78545446068,0,0,110155.03505788423,109195.54594211576,109675.2905,0.0087508745571702,0.4683680622310212,109842.7245,109519.8445,109681.28450000002,163.22102974692328,0.1488632578456637,0,111190.11732574074,-1.3896714590326469,664.9169800000008,713.5206887454392,-0.1935195056586683,0,0,109369.62,110154.39,0.2511014188160502,0.4646361245671684,39.51647868746864,1,59.1477212837886,0.0851561513534319,0,16,1,0,0,2,109674.61,43.91233802489411,-132.04740156892512,109652.41,42.87679857789704,-159.74930557778862,109510.31,35.83554034772443,-190.2405896595301,109576.6,36.55570129632009,-236.77266317477915,109625.454,109675.2905,246.10376545994384,0.8424464034815966,-0.4352322023094168,0.0012293819641273,0.0008043679892085,0.0006236733025115,0.0009511025882711,0.0018726242690059,0.0007816654488473,-0.0030049444689499,0.0010034310486138,0.022,6302.471,0,128.1,-0.0010118113977717336,-0.0009548092232983807,-0.0010118113977717336,-0.002144102591510322,-0.0009548092232983807,-0.002144102591510322,-0.0019861381656098853,-0.0009301842839259944,-0.002144102591510322,6.0285499722922964e-05,6.0285499722922964e-05,-0.002144102591510322,0.0014690144387874415,0.0014690144387874415,-0.002144102591510322,0.00100343104861386,339.0,7320.363636362632,1904.4545454541355,13356.386363636166,6431.670454545463,3.0,2,HIGH,BUY_PUT,13356.386363636166
82,82,2025-09-03 18:45:00,111885.48,111885.48,111800.0,111824.01,25.57616,36.53144017459788,42.63940741446858,22.363483514999373,-1.797825288064672,-0.0005494010482861,3.0969855663181387,3.4096512001298933,-96.90301443368186,-111.53642657728052,-50.259837099832886,-61.27658947744762,-48.03889241209254,25.90615571450588,112060.8342270838,112152.08551463502,112078.342189826,111571.34748839412,0,1,112679.8126963088,111867.44430369115,112273.6285,0.007264704535436,-0.0534662649185776,112433.10683333334,112121.54383333334,112277.32533333334,150.92012462153326,0.1349621826489081,1,111477.90114836658,0.3104730606407585,1562.9883100000015,1679.514085165389,-0.2698177325036136,0,0,111824.01,112510.8,0.0,0.6141704272633473,19.288462274327024,0,38.30607924190584,0.0856585536361907,0,18,0,0,-1,2,111885.48,38.32926546266255,-82.47566716713482,111869.51,37.588290058535165,-50.434859796616365,112131.57,46.012083464243055,-0.7131505212310003,112171.17,47.40980633838754,50.08931739653053,111969.422,112273.6285,208.3680961859819,-1.1383769602154854,0.2820446359422369,-0.0027428493153178,0.0012796110929804,-0.0030949128907187,0.0009954178666364,-0.0043506234026731,0.0009969527564387,-0.0022583556750922,0.0011088358234731,0.022,6302.471,0,128.1,0.0015738122787762876,0.0015738122787762876,0.0007210437186075946,0.0009119687265732868,0.0015738122787762876,0.0007210437186075946,-7.797967538458739e-05,0.0015738122787762876,-7.797967538458739e-05,-3.076262423418186e-05,0.0015738122787762876,-7.797967538458739e-05,0.0030045425843698848,0.0033063561215520565,-7.797967538458739e-05,0.00110883582347312,82.0,15270.818181818659,4975.818181818586,494.4545454546116,171.72727272711563,3.0,1,HIGH,BUY_CALL,15270.818181818659
364,364,2025-09-04 18:15:00,110120.55,110175.66,109984.98,109984.98,28.36591,58.71064024116279,54.92958876334516,60.35683915103926,-7.515034164206902,-0.0012310146681082,61.44659905520066,76.90800809193627,-38.55340094479934,134.94291867777065,110.415503506734,24.52741517103664,89.95121743599884,38.42420576298559,109925.37340233504,109806.74228678388,109860.071007879,110508.76829533276,1,0,110144.862531963,109341.574468037,109743.2185,0.0073036160385352,0.8009648852721781,109873.9885,109609.9775,109741.983,148.66408655572545,0.1351676261210626,0,111109.3831795242,-1.0119785992398531,998.101910000001,807.6574065339224,-0.4719653595071761,0,0,109438.34,110120.54,0.4970133194550741,0.1232531932996648,28.3435995442216,1,43.78913984685869,0.0558098474266055,0,18,0,0,2,2,110120.54,66.22567440536969,140.3967487027112,110103.45,65.71188688834695,118.92325834647636,110058.04,64.37473826288581,88.32965746133414,109857.01,58.42204138909209,47.11178989589098,110010.698,109743.2185,206.03904101911547,0.3501842936098286,-0.4412264537608298,-0.0006638315565132,0.0008840585139747,0.0011648778716988,0.0014113172325045,0.0016298743575147,0.0011735262104524,0.0050975457009443,0.0009329151453409,0.022,6302.471,0,128.1,-0.0007015503389643518,-0.0007015503389643518,-0.0008817567635144297,-0.0007280084971601486,-0.0007015503389643518,-0.0008817567635144297,0.0005130700573843239,0.001059690150418735,-0.0008817567635144297,0.00024566990874586025,0.001059690150418735,-0.0008817567635144297,,,,0.0009329151453409086,364.0,2564.0000000003442,1263.3939393943365,4548.431818181388,1515.4772727271293,3.0,2,HIGH,BUY_PUT,4548.431818181388
148,148,2025-09-04 00:15:00,111730.45,111896.01,111672.04,111896.01,32.34908,54.364731804130486,50.758816127161296,66.1767588909847,11.55920389230986,0.0014818701152523,87.36988847583528,43.32141990962612,-12.630111524164716,-50.557618496823125,-77.54862306274055,26.99100456591742,-65.00271742911718,-77.88340972905041,111752.23625287024,111802.3636586648,111899.6264242368,111752.5946810635,0,1,112015.40512621068,111578.12987378934,111796.7675,0.0039078717142937,0.7269565895862082,111885.04716666669,111707.70716666666,111796.37716666669,93.26685980847506,0.0833513722325533,0,111526.038236918,0.331735771242992,1905.463210000001,1807.5838107497068,1.02465961593587,1,0,111638.26,111958.65,0.2303478023925964,0.055980548368078,21.98071622228962,0,53.2145040684175,0.0380376222632632,0,0,0,0,-1,0,111730.44,42.80552791182063,-82.39411574389669,111646.21,35.0318145531119,-94.31718711492432,111710.59,38.771990690895166,-92.84232556492498,111657.64,33.717946507886126,-106.50294427438348,111737.792,111796.7675,112.15873572171002,-0.0443217134096692,-1.6346798988694309,0.0016598247310304,0.001043723766034,0.0021348292870957,0.0007703148117834,0.0007796342400117,0.0007383751610198,0.0,0.0006075823192548,0.022,6302.471,0,128.1,0.0009740293688755841,0.0010050403048331713,0.0009740293688755841,0.0020016799526632045,0.0020016799526632045,0.0009740293688755841,0.0015370521254511882,0.0020016799526632045,0.0009740293688755841,0.00011573245551832478,0.002233055495008296,0.00011573245551832478,0.0002502323362558734,0.002233055495008296,-0.0017087293818608407,0.0006075823192548804,148.0,10179.909090908906,4964.0000000001455,-1.0,-1.0,3.0,1,HIGH,BUY_CALL,10179.909090908906
